,Unnamed: 0,url,domain,post_id,published,author,flow,polling,content_len,title,comments,favs,views,votes_plus,votes_minus,views_lognorm,favs_lognorm,comments_lognorm
0,0,https://habrahabr.ru/post/18284/,habrahabr.ru,18284,2008-01-01 18:19:00,@Tapac,develop,False,4305,Новогодний подарок блоггерам — WordPress 2.3.2,0,0,236,0.0,0.0,-0.792686871682,-1.34407496338,-2.43687130821
1,1,https://habrahabr.ru/post/18285/,habrahabr.ru,18285,2008-01-01 18:30:00,@DezmASter,design,False,7344,"Сумасшедшие яйца, или сервис для отслеживания посетителей",1,1,353,1.0,0.0,-0.485214212783,-0.831945945456,-1.87319310711
2,2,https://habrahabr.ru/post/18286/,habrahabr.ru,18286,2008-01-01 18:34:00,@DezmASter,design,False,8431,"Сумасшедшие яйца, или сервис для отслеживания посетителей",47,72,1200,45.0,5.0,0.44608986346,1.79402283827,0.574656384711
3,3,https://habrahabr.ru/post/18291/,habrahabr.ru,18291,2008-01-02 01:32:00,@Taoorus,design,False,5662,"Сглаживание шрифтов, и субпиксельная отрисовка",102,36,5700,72.0,3.0,1.62746907668,1.30004960826,1.16737523005
4,4,https://geektimes.ru/post/18294/,geektimes.ru,18294,2008-01-02 14:34:00,@dennydo,,False,3706,Почему мне не нравится iPhone,230,6,1400,73.0,15.0,1.36239697724,0.961093988654,2.02035591198
5,5,https://habrahabr.ru/post/18295/,habrahabr.ru,18295,2008-01-02 16:14:00,@lvea,develop,False,3171,Mobile2.0 Всеобщая доступность,22,1,192,9.0,2.0,-0.950075164249,-0.825149354797,0.0165552923943
6,6,https://geektimes.ru/post/18306/,geektimes.ru,18306,2008-01-03 12:55:00,@abbasov,,False,435,Modbook в действии,10,0,301,5.0,1.0,-0.402140404539,-1.2786429729,-0.355525394738
7,7,https://habrahabr.ru/post/18311/,habrahabr.ru,18311,2008-01-03 17:20:00,@Andrey,misc,False,3291,В чем суть проекта Vladelia.ru,64,1,141,17.0,20.0,-1.16856901364,-0.822414080389,0.801625822119
8,8,https://habrahabr.ru/post/31352/,habrahabr.ru,31352,2008-01-03 22:54:00,@kvladimir,develop,False,1953,Подтверждено: Wikia Search запускается в понедельник,23,2,208,21.0,3.0,-0.878984023635,-0.525245394726,0.0410004703397
9,9,https://habrahabr.ru/post/18314/,habrahabr.ru,18314,2008-01-03 23:56:00,@lvea,develop,False,3712,Mobile 2.0 Выбор предпочтительного способа связи,6,1,401,2.0,0.0,-0.389766383762,-0.817507022817,-0.896509815129
10,10,https://geektimes.ru/post/18316/,geektimes.ru,18316,2008-01-04 00:48:00,@caxep,,False,6553,Обзор «лаунчеров» под Windows,50,10,6300,19.0,3.0,3.08554300726,1.46540259451,0.812634297562
11,11,https://habrahabr.ru/post/18318/,habrahabr.ru,18318,2008-01-04 01:23:00,@clops,develop,False,7099,Онлайн Банкинг,154,21,3400,29.0,7.0,1.20817806144,0.923496314036,1.46388000128
12,12,https://habrahabr.ru/post/18323/,habrahabr.ru,18323,2008-01-04 13:39:00,@vasilyyaremchuk,management,False,1332,Оформление рабочего места.,406,7,3900,27.0,14.0,1.30088839559,0.188394499369,2.18347101357
13,13,https://geektimes.ru/post/18328/,geektimes.ru,18328,2008-01-04 18:44:00,@suckdontbite,,False,1698,Новые скриншоты Cairo Shell,22,7,653,19.0,3.0,0.445146802475,1.07677901818,0.183941595623
14,14,https://habrahabr.ru/post/18329/,habrahabr.ru,18329,2008-01-04 18:48:00,@blv,admin,False,9033,Шанс для альтернативных ОС,177,3,668,33.0,5.0,-0.016818350372,-0.313834286384,1.5424959399
15,15,https://habrahabr.ru/post/35218/,habrahabr.ru,35218,2008-01-04 19:04:00,@napster,develop,True,1,Кто должен писать JS код в процессе работы над проектом?,105,1,1200,25.0,14.0,0.415984943964,-0.8125243785,1.14461785626
16,16,https://habrahabr.ru/post/18332/,habrahabr.ru,18332,2008-01-04 20:41:00,@hightower,misc,False,11781,"TOP-10 западных стартапов, на которые стоит обратить внимание в 2008 году",19,31,769,24.0,2.0,0.0857293426563,1.18888491136,-0.107333480865
17,17,https://geektimes.ru/post/18333/,geektimes.ru,18333,2008-01-04 23:07:00,@agl666,,False,1215,Чтение Википедии оффлайн,30,4,11100,11.0,1.0,3.56120536858,0.543634983377,0.415357985643
